Project Number,Project Title,Financial Year,Contractor Name,Estimated Cost,Department,Approval/Contract Number,Amount Paid,Project Scope
006/131/106/20-21,Water Distribution For The Ward,2020-2021,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/107/20-21,Compeletion Of 2 Nguraru,2020-2021,POPULAS DEI ENT LTD," 1,498,300.00 ","Education, Libraries and VTCs",," 1,498,300.00 ",
006/131/109/20-21,"Completion Of Shigharo/Mtukunyi Dispensary,With Equipment",2020-2021,n/a,0,Health Services,,0,
006/131/11/24-25,Grading Of Brookside-Mchungunyi-Mlondo Road,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,6622370,Grading and bush clearing
006/131/110/20-21,Mwaleni Msangarenyi Road Escavation Murraming Grading,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/111/20-21,Levy Fund,2020-2021,n/a,0,"Youth, Sports, Gender and Social Services",,0,
006/131/112/20-21,Mbale Vtc,2020-2021,n/a,0,"Education, Libraries and VTCs",,0,
006/131/113/20-21,"Youth & Women, Disabled Empowernment ",2020-2021,n/a,0,"Youth, Sports, Gender and Social Services",,0,
006/131/114/20-21,Formation Of Mwalenyi-Msangaghenyi Road,2020-2021,GM CONTRACTORS LTD," 2,577,243.60 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 2,577,243.60 ",formation of mwalenyi-msangaghenyi road
006/131/115/20-21,Rehabilitation Of Mole Talaya Road,2020-2021,BROMINE SOLUTIONS," 974,751.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 974,751.00 ",rehabilitation of mole talaya road
006/131/116/20-21,Proposed Rehabilitation Of Mranju Road,2020-2021,Decah Consolidated Systems Ltd,1277160,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1277160,proposed rehabilitation of mranju road
006/131/117/20-21,Mwangeka Wesu Road,2020-2021,TATAWE INVESTMENT COMPANY LIMITED," 882,806.40 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 882,806.40 ",mwangeka wesu road
006/131/118/20-21,Hebron Mwalachi Footbridge,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,980347.9,hebrons mwalachi  footbridge
006/131/119/20-21,Rehabilitation Of Mtukunyi Shigharo Road,2020-2021,GM CONTRACTORS LTD," 909,440.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 909,440.00 ",REHABILITATION OF MTUKUNYI SHIGHARO ROAD
006/131/12/24-25,Renovation Of Mghambonyi Market Shed,2024-2025,LEMAX AGENCIES LIMITED," 1,997,636.00 ","Trade, Tourism, Culture and Industrialization",," 1,997,636.00 ","Roofing,slabbing,painting,elctricity installation and tank"
006/131/120/20-21,Wanganga Mghoghonyi Road,2020-2021,Ahadi Merchants Limited," 2,124,618.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 2,124,618.00 ",WANGANGA MGHOGHONYI ROAD
006/131/121/20-21,Masumbenyi E.C.D,2020-2021,MOMA HERITAGE CONSTRUCTION LTD," 1,615,970.00 ","Education, Libraries and VTCs",," 1,615,970.00 ",CONSTRUCTION OF MASUMBENYI E.C.D
006/131/122/20-21,Proposed Construction Of Masumbenyi Social Hall,2020-2021,n/a,0,"Youth, Sports, Gender and Social Services",,4828880,
006/131/123/20-21,Proposed Electrical Rennovation And Power Upgrade Works At Wundanyi Sub County Hospital,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,974700,
006/131/124/20-21,Construction Of Wundanyi Market Shed,2020-2021,SPLENDOR ENERGY LTD," 3,653,694.30 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 3,653,694.30 ",
006/131/125/20-21,Fence,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1000000,
006/131/126/20-21,Construction Of 2N0.Classrooms  And 4 Door Toilets,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,4300000,
006/131/127/20-21,Request For Maintenance Of Wundanyi Slaughter,2020-2021,ARUBA CONSTRUCTION & GENERAL MERCHANTS," 596,163.00 ","Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,596163,
006/131/128/20-21,Manalonyi Mdundonyi Road,2020-2021,KINSHASARO INVESTMENT," 1,976,640.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 1,976,640.00 ",
006/131/129/20-21,Mghalu Serenyi Road,2020-2021,INTENT AND PAL ENTERPRISES," 951,000.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 951,000.00 ",
006/131/13/24-25,Grading Of Sewenga-Ilongonyi Road,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,6622370,Grading and bush clearing
006/131/130/20-21,Werunga Mwafunja ,2020-2021,TATAWE INVESTMENT COMPANY LIMITED," 3,236,235.30 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 3,236,235.30 ",
006/131/131/20-21,Mwalenyi Kidemedu Road,2020-2021,KINSHASARO INVESTMENT," 600,000.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 600,000.00 ",
006/131/132/19-20,Routine Maintenace And Spot Improvement,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 100,800 ",
006/131/132/20-21,Mwangeka-Wesu ,2020-2021,Mechanical and Transport Fund," 100,800 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2149596,
006/131/133/19-20,Mbaramghondi - Ndumbinyi Road,2019-2020,MECHANICAL TRUST FUND," 2,000,003.20 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 2,000,003.20 ",
006/131/133/20-21,Kwa Hebron Mwalachi Road,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,948178,
006/131/134/19-20,Saraa - Ikonde - Kapanga Road,2019-2020,Smart Fingers Enterprises Limited," 1,717,991.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 1,717,991.00 ",
006/131/134/20-21,Mranju Road,2020-2021,Decah Consolidated Systems Ltd," 306,286.40 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 306,286.40 ",
006/131/135/19-20,Routine Maintenace And Spot Improvement,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/136/19-20,Mbaramghondi - Ndumbinyi Road,2019-2020,MECHANICAL TRUST FUND," 2,000,003.20 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 2,000,003.20 ",
006/131/137/19-20,Saraa - Ikonde - Kapanga Road,2019-2020,Kilemba Enterprises Limited," 1,400,000.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 1,400,000.00 ",
006/131/138/19-20,Slabing Of Mghange Nyika Catholic Stretch,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/139/19-20,Tungulu Karanga Footpath,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,496242,
006/131/14/24-25,Construction Of Mlilo Ecde,2024-2025,JUSTEMPA CONTRACTORS LTD," 500,000.00 ","Education, Libraries and VTCs",," 500,000.00 ","Classroom,Electrical installation and tank"
006/131/140/19-20,Nyache 4 Door Public Toilet,2019-2020,NGANGAO WORKS LIMITED," 544,388.00 ","Trade, Tourism, Culture and Industrialization",," 544,388.00 ",Construction and septic tank
006/131/141/19-20,Construction Of Single Workshop For Kishushe Vtc,2019-2020,MWAGHO COMPANY LTD," 847,948.40 ","Education, Libraries and VTCs",," 847,948.40 ",Single worshop construction
006/131/142/19-20,Routine Maintenace And Spot Improvement,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/143/19-20,Mwangeka Wesu Road,2019-2020,ALTOVEX INVESTMENT," 1,742,830.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 1,742,830.00 ",
006/131/144/19-20,Maintenance Of Mogho Saghamoka Road,2019-2020,MECHANICAL TRUST FUND," 1,500,979.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 1,500,979.00 ",
006/131/145/19-20,Formation Of Fighinyi Nyache Road ,2019-2020,MECHANICAL TRUST FUND," 1,997,078.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 1,997,078.00 ",
006/131/146/19-20,Renovation Works At Ex-Governor Building-Wundanyi,2019-2020,MWAKITANGE COMPANY LIMITED," 419,229.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 419,229.00 ",
006/131/147/19-20,Proposed Construction Ofmain Gate At Wesu Hospital,2019-2020,SANABIL GENERAL SUPPLIES LTD," 621,900.00 ",Health Services,," 621,900.00 ",
006/131/148/19-20,Proposed Rennovation Of Works Of Xray Block At Wesu Hospital,2019-2020,Smart Fingers Enterprises Limited," 228,146.00 ",Health Services,," 228,146.00 ",
006/131/149/18-19,Agriculture Seedlings Program,2018-2019,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,
006/131/149/19-20,Proposed Works And Rennovation Works At Wesu Health Centre,2019-2020,ADAMS SUPPLIES LTD," 4,229,034 ",Health Services,,4229034,
006/131/15/24-25,Hpc Macadamia Processing Plant,2024-2025,Mrimo General Contractors Limited ," 3,000,000.00 ","Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",," 3,000,000.00 ",
006/131/150/18-19,Operationization Of Milk Cooling Plants- Mgange Ward,2018-2019,DAWIDA DAIRY FARMERS COOPERATIVES," 1,000,000.00 ","Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",," 1,000,000.00 ","Connecting the facility with water, construction of intake, suply of 10000 litre plastic tank, construction of a water tour, plumbing works. "
006/131/150/19-20,Proposed Refurbishment At Cecm Lands Office-Wundanyi,2019-2020,n/a,0,"Lands, Physical Planning, Mining and Urban Development",,945423,
006/131/151/18-19,Completion Of Of Mwanda Slaughter House,2018-2019,Mlawa Contractors," 500,000.00 ","Trade, Tourism, Culture and Industrialization",," 500,000.00 ",Completion of of Mwanda slaughter house
006/131/151/19-20,Repair Works At Drug Store Wundanyi,2019-2020,n/a,0,Health Services,,1960139,
006/131/152/18-19,Agriculture Seedlings Program,2018-2019,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,
006/131/153/18-19,Operationization Of Milk Cooling Plants- Mgange Ward,2018-2019,JODIMIC KENYA LIMITED," 1,987,300 ","Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",," 1,987,300 ","Connecting the facility with water, construction of intake, suply of 10000 litre plastic tank, construction of a water tour, plumbing works. "
006/131/155/18-19,Solome Water Project,2018-2019,Aruba Construction," 597,188 ","Water, Sanitation, Environment, Climate Change and Natural Resources",722365050," 597,188 ","Supply of plastic tanks, construction of tank bases, provision and installation of supply lines "
006/131/156/18-19,Majhughu Water Project,2018-2019,Unic Merchandise,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",722899244,1000000,Rehabilitation of pipeline and tanks
006/131/157/18-19,Ivongongonyi Mwaroko Kokua Water Project,2018-2019,Damimwa Multi Venture,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",715876410,1000000,"Excavation of trenches, supply and laying of pipelines, construction of community water points. "
006/131/158/18-19,Construction Of Classroom At St Peter'S Ecde Ikuminyi,2018-2019,n/a,0,"Education, Libraries and VTCs",,1299800,"Sub structure works, super structure works, roofing, doors, windows, finishes, tank base, supply of 10000 liter heavy duty plastic tank, electrical works, branding and signage"
006/131/159/18-19,Construction Of Lushangonyi Ecde Classroom,2018-2019,LWALENYI BUILDING GENERAL CONTRACTORS," 273,988.80 ","Education, Libraries and VTCs",," 273,988.80 ","Foundation, flooring, walling, painting, finishes "
006/131/16/24-25,Hpc  Fishing Hatching Unit ,2024-2025,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,
006/131/160/18-19,St. James Ecde Class Renovation,2018-2019,n/a,0,"Education, Libraries and VTCs",,500000,"Flooring, painting, ceilings, plumbing works, supply of rain harvesting facilities"
006/131/161/18-19,Ndumbinyi Ecde Class Completion,2018-2019,Bettods Investments Ltd,0,"Education, Libraries and VTCs",721672091,1600000,"Foundation, flooring, walling, painting, finishes "
006/131/162/18-19,"Mwaroko Primary Ecde, New Class & Toilet",2018-2019,The Jefferson Construction Co.Ltd,0,"Education, Libraries and VTCs",721905323,1000000,"Floorring, walling, painting, roofing, doors, windows, rain water harvesting facilities "
006/131/163/18-19,St. James Ecde Class Renovation,2018-2019,n/a,0,"Education, Libraries and VTCs",,500000,"Flooring, painting, ceilings, plumbing works, supply of rain harvesting facilities"
006/131/164/18-19,Kiloghwa Vtc - New Complex  Completion,2018-2019,Mwagho Company Ltd,0,"Education, Libraries and VTCs",721672091,3386620,"Sub structure works, super structure works"
006/131/165/18-19,Mwanda Vtc New Complex Construction,2018-2019,Global Woods Hardware Ltd,0,"Education, Libraries and VTCs",722913932,3500000,"Subsstructure works, Framed reinforcement concrete and R.C suspended slab"
006/131/166/18-19,Mwanda H.C Structural Completion,2018-2019,n/a,0,Health Services,,700000,"Flooring, painting, ceilings, plumbing works, supply of rain harvesting facilities"
006/131/167/18-19,Mghange Dawida H.C Fencing,2018-2019,n/a,0,Health Services,,900000,"2.4 high 14 gauge chainlink fence, provision of concrete posts anchoring it in mass concrete, provision of 16 gauge barbed wire and heavy duty gate"
006/131/168/18-19,Mwaghaninyi Kidasi Kidasi Chambeo Road,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1200000,"Mechanical excavation, shaping"
006/131/17/24-25,Grading And Murraming Of Figinyi-Ngilinyi-Choke-Wanganga-Mdundonyi Road,2024-2025,Mayer Ventures Limited,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1938566.6,
006/131/170/18-19,Rehabilitation Of Saraa Ikonde  Kapanga Road,2018-2019,Mariwenyi Contractors,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",718591955,597400,Saraa Ikonde Kapanga Road
006/131/171/18-19,Mwaghaninyi Kidasi Kidasi Chambeo Road,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1200000,"Mechanical excavation, shaping"
006/131/172/18-19,Lushangonyi Iyale Choke Wesu Road,2018-2019,DINARI YETU LIMITED," 4,970,338.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 4,970,338.00 ","Mechanical excavation, shaping, grading, culvert installation, slabs construction and cross cutting issue"
006/131/174/18-19,St. John'S Chovunyi Mwaroko Road,2018-2019,Sanjemu Investment,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",723416369,750000,"Mechanical excavation, shaping"
006/131/175/18-19,Mbaramghondi - Ndumbinyi Road,2018-2019,Rokeen Contractors,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",O720945465,431520,Mbaramghondi - Ndumbinyi Road
006/131/176/18-19,Rehabilitation Of Mghange Kwaila Road Nyika,2018-2019,Re-Tendered Under Public Works,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,REHABILITATION OF MGHANGE KWAILA ROAD NYIKA
006/131/177/18-19,Njawuli Community Hall New Construction,2018-2019,WAREGI CONSTRUCTION," 2,267,104.00 ","Youth, Sports, Gender and Social Services",," 2,267,104.00 ","Construction and copletion of Njawuli social hall, construction of two door pit latrines at Njawuli social hall and Kisangarinyi and construction of a boda boda shed at Kisangarinyi"
006/131/178/18-19,Kirurumo Mnamu Intake,2018-2019,Mwanedu General Holdings,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",787022070,1964019,Water Intake
006/131/179/18-19,Rehabilitation Of Mghange Kwaila Road Nyika,2018-2019,Re-Tendered Under Public Works,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,REHABILITATION OF MGHANGE KWAILA ROAD NYIKA
006/131/18/24-25,Grading And Murraming Of Mkororo-Kitukunyi-Sungululu-Nyambu-Mwalenyi Road,2024-2025,Fig Eng Services Ltd,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2895460,
006/131/180/18-19,Mghambonyi-Mwanjeni Road Maintainance,2018-2019,TAMIKE INVESTMENT," 1,033,540 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 1,033,540 ",Construction of culverts and murruming
006/131/181/18-19,Construction Of 1No Classroom For Daku Ecde,2018-2019,AKINVEST SERVICES LTD," 148,016.00 ","Education, Libraries and VTCs",," 148,016.00 ","Substructure works,roofing,finishes and electrical installation"
006/131/182/18-19,Construction Of 1No Classroom Of Mwakilemba Ecde,2018-2019,M/S AVIAGEM SUPPLIERS," 142,506.00 ","Education, Libraries and VTCs",," 142,506.00 ","Substructure works,roofing,finishes and electrical installation"
006/131/183/18-19,Construction Of 2No Classroom Of Mkanyatta Ecde,2018-2019,KAVENGELE BUILDING," 2,705,816.00 ","Education, Libraries and VTCs",," 2,705,816.00 ","SUbstructure works,roofing,finishes and electrical installation"
006/131/184/18-19,Construction Of 1No Of Mwang'Orua Ecde,2018-2019,n/a,0,"Education, Libraries and VTCs",,6622370,"Substructure works,roofing,finishes and electrical installation"
006/131/185/18-19,Refurbishment Of Non-Residential Buildings (Wundanyi - Kambi Ya Majani Pit Latrine),2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/186/18-19,Supply Of Seeds And Fertilizer,2018-2019,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,
006/131/187/18-19,Operationization Of Wundanyi  Milk Cooling Plants,2018-2019,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,
006/131/188/18-19,Irido A Water Project Piping,2018-2019,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/189/18-19,Mwanguwi Intake Canal Rehabilitation,2018-2019,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/19/24-25,Supervision Of Wundanyi Roads Projects,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/190/18-19,Kwa Hebron/Mwalachi/Tira/Mswadi Water Project,2018-2019,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1891585,
006/131/191/18-19,Mogho/Mlamba Water Project(Pipe Laying),2018-2019,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/192/18-19,Ack Terinyi-Mwandongo Water Project,2018-2019,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/193/18-19,Iriwa Water Distribution,2018-2019,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/194/18-19,Completion Of Nguraru Ecd And Toilet,2018-2019,n/a,0,"Education, Libraries and VTCs",,0,
006/131/195/18-19,Rehabilitation Of Wundanyi Boma Ecd,2018-2019,n/a,0,"Education, Libraries and VTCs",,0,
006/131/196/18-19,Construction Of Mbauro Ecde Toilet,2018-2019,n/a,0,"Education, Libraries and VTCs",,0,
006/131/197/18-19,Fencing Of Wesu Ecd,2018-2019,n/a,0,"Education, Libraries and VTCs",,0,
006/131/198/18-19,Construction Of Mbale Vtc Classroom,2018-2019,n/a,0,"Education, Libraries and VTCs",,0,
006/131/199/18-19,Construction Of Mortuary Waiting Bay At Wesu Sch,2018-2019,n/a,0,Health Services,,0,
006/131/20/24-25,Fuel For Wundanyi Ward Roads Maintenance,2024-2025,Bahari Filling Station,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1000000,
006/131/200/18-19,Completion Of Mbale Health Centre Male Ward,2018-2019,n/a,0,Health Services,,0,
006/131/201/18-19,Construction Of Iriwa Market,2018-2019,n/a,0,"Trade, Tourism, Culture and Industrialization",,0,
006/131/202/18-19,Slabbing Mlechi Road,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,592328,
006/131/203/18-19,Mwalusu - Kungu Road,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/204/18-19,Rehabilitation Of Wesu Mwangeka Road,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/205/18-19,Rehabilitation  Of Sacco- Mlawa- Mbengonyi Road,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/207/18-19,Rehabilitation Of Mwalenyi -Kidemedu Road,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/208/18-19,Kwa Hebron/Mwalachi/Tira/Mswadi Foot Bridge,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,kwa hebron mwalachi tira footbridge
006/131/209/18-19,"Youth, Women And Pwd Improvement Programme",2018-2019,n/a,0,"Youth, Sports, Gender and Social Services",,0,
006/131/21/24-25,New Wundanyi Bus Stage ,2024-2025,Nohemwa And Sons Limited ,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,4999990,
006/131/210/18-19,Construction Of Chome Community Hall,2018-2019,n/a,0,"Youth, Sports, Gender and Social Services",,0,
006/131/211/18-19,Construction Of Iriwa Market Shed,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1296648,construction of iriwa market shed
006/131/212/18-19,Rehabilitation Of Manolonyi Mndundonyi Road,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1468560,rehabilitation of manolonyi mdundonyi road
006/131/213/18-19,Maintanance Of Mwalusu Kungu Road,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,771386.49,maintanance of kungu mwalusu road
006/131/214/18-19,Kwa Hebron Mwalachi Tira Footbridge,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1643163,kwa hebron mwalachi tira footbridge
006/131/215/18-19,Construction Of Iriwa Market Shed,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1296648,
006/131/216/18-19,Rehabilitation Of Wundanyi Stadium,2018-2019,n/a,0,"Youth, Sports, Gender and Social Services",,18084794,
006/131/217/17-18,Slaughter House Mwanda,2017-2018,n/a,0,"Trade, Tourism, Culture and Industrialization",,720000,Slaughter house Mwanda
006/131/217/18-19,Fencing Of Wesu Ecd,2018-2019,n/a,0,"Education, Libraries and VTCs",,564088,
006/131/218/17-18,Livestock A.I Program,2017-2018,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,
006/131/218/18-19,Rennovation Works At Veterinary Building-Wundanyi,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2474604.8,
006/131/219/17-18,Rehabilitation Of Mghange/Dawida Slaughter House,2017-2018,n/a,0,"Trade, Tourism, Culture and Industrialization",,1400000,Rehabilitation of mghange/dawida slaughter house
006/131/219/18-19,Kwa Hebrons /Tira/Mswadi Water Project ,2018-2019,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1891585,
006/131/22/23-24,Construction Of Mgange Nyika Boda Boda Shed And Mwaroko Two Door Latrine,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction of Mgange Nyika boda boda shed and Mwaroko two door latrine
006/131/22/24-25,Community Empowerment,2024-2025,n/a,0,"Youth, Sports, Gender and Social Services",,0,
006/131/220/17-18,Slaughter House Mwanda,2017-2018,n/a,0,"Trade, Tourism, Culture and Industrialization",,720000,Slaughter house Mwanda
006/131/221/17-18,Choke To Lushangonyi To Mchundi Water Project (Mwanda Mghange Ward),2017-2018,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,600000,Choke to lushangonyi to mchundi water project (Mwanda Mghange WARD)
006/131/223/17-18,Construction Of Classroom At St Peter'S Ecde Ikuminyi,2017-2018,n/a,0,"Education, Libraries and VTCs",,1299800,"Sub structure works, super structure works, roofing, doors, windows, finishes, tank base, supply of 10000 liter heavy duty plastic tank, electrical works, branding and signage"
006/131/224/17-18,Choke To Lushangonyi To Mchundi Water Project (Mwanda Mghange Ward),2017-2018,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,600000,Choke to lushangonyi to mchundi water project (Mwanda Mghange WARD)
006/131/225/17-18,Construction Of Lushangonyi Ecde,2017-2018,n/a,0,"Education, Libraries and VTCs",,1100000,"Foundation, flooring, walling, painting, finishes "
006/131/226/17-18,Construction Of Classroom At St Peter'S Ecde Ikuminyi,2017-2018,n/a,0,"Education, Libraries and VTCs",,1299800,"Sub structure works, super structure works, roofing, doors, windows, finishes, tank base, supply of 10000 liter heavy duty plastic tank, electrical works, branding and signage"
006/131/227/17-18,Construction Of Classroom At Ndumbinyi Ecde,2017-2018,n/a,0,"Education, Libraries and VTCs",,1600000,"Foundation, flooring, walling, painting, finishes "
006/131/228/17-18,Rehabilitation Of Mghange Dawida Market,2017-2018,n/a,0,"Trade, Tourism, Culture and Industrialization",,2000000,"Sub structure works, super structure works, roofing, , finishes, tank base, supply of 10000 liter heavy duty plastic tank, construction of small cabinets, branding and signage"
006/131/229/17-18,Completion Of Mghange Nyika Health Centre Maternity,2017-2018,n/a,0,Health Services,,2500000,Completion of Mghange Nyika Health Centre maternity
006/131/23/23-24,Supplies For Mwanda Mgange Madamia Processingand Milk Plants,2023-2024,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,"Supply of sorting equipment, rosters "
006/131/23/24-25,Roofing Works At Dawson Mwanyumba Stadium,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2499916,
006/131/230/17-18,Rehabilitation Of Mwanda Market,2017-2018,n/a,0,"Trade, Tourism, Culture and Industrialization",,2000000,"Sub structure works, super structure works, roofing, , finishes, tank base, supply of 10000 liter heavy duty plastic tank, construction of small cabinets, branding and signage"
006/131/231/17-18,Rehabilitation Of Mghange Dawida Market,2017-2018,n/a,0,"Trade, Tourism, Culture and Industrialization",,2000000,"Sub structure works, super structure works, roofing, , finishes, tank base, supply of 10000 liter heavy duty plastic tank, construction of small cabinets, branding and signage"
006/131/232/17-18,Repair And Maintenance Of Mwanda Mghange Ward Roads,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/233/17-18,Estamblishment Of Mgange Dawida Milk Cooling Plant,2017-2018,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,1880635,Renovation of the structure hosting the plant
006/131/234/17-18,"Construction Of Boda Boda Sheds (Mghange Nyika, Mghange Dawida And Mwanda)",2017-2018,n/a,0,,,1200000,"Flooring, painting, finishing, roofing"
006/131/235/17-18,Completion Of Mwaroko Social Hall,2017-2018,n/a,0,"Youth, Sports, Gender and Social Services",,1000000,Construction of a social hall 
006/131/236/17-18,Construction Of Staff Toilets,2017-2018,n/a,0,"Youth, Sports, Gender and Social Services",,551087,construction of staff Toilets
006/131/237/17-18,Mbaramghondi - Ndumbinyi Road- Rmlf,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1900000,"Mechanical excavation, grading, shaping, compaction. "
006/131/239/17-18,Construction Of Staff Toilets,2017-2018,n/a,0,"Youth, Sports, Gender and Social Services",,551087,construction of staff Toilets
006/131/24/23-24,Construction Of Mgange Nyika Boda Boda Shed And Mwaroko Two Door Latrine,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction of Mgange Nyika boda boda shed and Mwaroko two door latrine
006/131/240/17-18,Purchase Of Seedlings And Fertilizer For Farmers,2017-2018,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,
