Project Number,Project Title,Project Status,Financial Year,Contractor Name,Estimated Cost,Department,Implemented By,Partner,Expected Start Date,Expected End Date,Approval/Contract Number,Contract Period (Days),Technical Rating,Completion Level,Amount Paid,Total Percentage,Project Scope,Administrative Level,Project Location,Location Names,Latitude,Longitude,Funded By,Percentage of Funding,Partner,,Admin Level,Admin
006/130/107/22-23,Lora Water Pan,Complete,2022-2023,Qatar General  Constructions Limited,1853478,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,1853478,100,Lora Water Pan,Admin 3,,Kasigau,0,0,County Government,100,,,Admin 3,Kasigau
006/130/108/22-23,Sasenyi Water Project,Complete,2022-2023,ALTOVEX INVESTMENTS," 499,019.00 ","Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,499019,100,Sasenyi Water Project,Admin 3,,Kasigau,0,0,County Government,100,,,Admin 3,Kasigau
006/130/109/22-23,Kiteghe Water Pan,Complete,2022-2023,Raphai General Supplies And Construction Ltd,1999302.5,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,1999302.5,100,Kiteghe Water Pan,Admin 3,,Kasigau,0,0,County Government,100,,,Admin 3,Kasigau
006/130/11/24-25,Construction Of Mleghwa Dispensary Toilet ,Complete,2024-2025,Steve Ventures,1068743,Health Services,County Government,,,,,0,,0,1068743,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/110/22-23,Proposed Garbage Receptable And Cabro Works -Rukanga Market,Complete,2022-2023,Mwashig Company Ltd,1993143,"Trade, Tourism, Culture and Industrialization",County Government,,,,,0,,0,1993143,100,Proposed Garbage Receptable And Cabro Works -Rukanga Market,Admin 3,,Kasigau,0,0,County Government,100,,,Admin 3,Kasigau
006/130/111/22-23,Women And Youth Empowerment,Complete,2022-2023,n/a,990060,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,990060,100,Women And Youth Empowerment,Admin 3,,Kasigau,0,0,County Government,100,,,Admin 3,Kasigau
006/130/112/22-23,Supply And Delivery Of Green Grams,Complete,2022-2023,n/a,916300,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",County Government,,,,,0,,0,916300,100,Supply And Delivery Of Green Grams,Admin 3,,Kasigau,0,0,County Government,100,,,Admin 3,Kasigau
006/130/113/22-23,Bughuta Maternity Block Completion,Complete,2022-2023,Mwabena Construction Company Ltd,4598472,Health Services,County Government,,,,,0,,0,4598472,100,Bughuta Maternity Block Completion,Admin 3,,Kasigau,0,0,County Government,100,,,Admin 3,Kasigau
006/130/114/22-23,Kururu Pangachi Road,Complete,2022-2023,RONRICE SERVICES LTD," 800,000.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0," 800,000.00 ",100,Formation Of The Road,Admin 3,,Mbololo,-3.3752,38.4744,County Government,100,,,Admin 3,Mbololo
006/130/115/21-22,Gaza Ecde Class +Kitchen,Complete,2021-2022,MOMBASA ROAD GENERAL SUPPLIES," 1,128,232.20 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 1,128,232.20 ",100,Constraction Of Class & Kitchen,Admin 3,,Kaloleni,-3.3987,38.5572,County Government,100,,,Admin 3,Kaloleni
006/130/116/21-22,Kaloleni Footbridge,Complete,2021-2022,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Metalic Footbridge,Admin 3,,Kaloleni,-3.3973,38.5647,County Government,100,,,Admin 3,Kaloleni
006/130/117/21-22,Tanzania Ecde Toilet&Fence,Complete,2021-2022,MBILO LTD," 599,150 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 599,150 ",100,Construction Of Tanzania Ecde Toilet And Fence,Admin 3,,Kaloleni,-3.3995,38.5604,County Government,100,,,Admin 3,Kaloleni
006/130/118/21-22,Bondeni Social Hall+Toilet,Complete,2021-2022,Mwagho Co Limited," 744,677.00 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 744,677.00 ",100,Construction Of Modern Hall And 4 Door Toilet,Admin 3,,Kaloleni,-3.3969,38.5609,County Government,100,,,Admin 3,Kaloleni
006/130/12/24-25,Cabro Mazeras Ferry,Complete,2024-2025,n/a,10000000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,10000000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
