Project Number,Project Title,Project Status,Financial Year,Contractor Name,Estimated Cost,Department,Implemented By,Partner,Expected Start Date,Expected End Date,Approval/Contract Number,Contract Period (Days),Technical Rating,Completion Level,Amount Paid,Total Percentage,Project Scope,Administrative Level,Project Location,Location Names,Latitude,Longitude,Funded By,Percentage of Funding,Partner,,Admin Level,Admin
006/130/446/14-15,Construction Of Ecd Centres At Msambweni And Gaza(Kaloleni Ward)-Wdf,Complete,2014-2015,n/a,1000000,"Education, Libraries and VTCs",County Government,,,,,0,,0,1000000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/447/14-15,Completion Of Special Unit Dormitory (Mwanyambo)(Kaloleni Ward)-Wdf,Complete,2014-2015,n/a,18376445,"Education, Libraries and VTCs",County Government,,,,,0,,0,18376445,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/448/14-15,Construction Of Public Library(Partnership With Rotary)(Kaloleni Ward)-Wdf,Complete,2014-2015,n/a,1000000,"Education, Libraries and VTCs",County Government,,,,,0,,0,1000000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/449/14-15,Construction Of New Gimba Dispensary(Kaloleni Ward)-Wdf,Complete,2014-2015,n/a,2000000,Health Services,County Government,,,,,0,,0,2000000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/45/23-24,Fertilizer,Complete,2023-2024,Elyndisin Investments,599600,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",County Government,,,,,0,,0,599600,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/450/14-15,"Completion Of Adjudication And Beacon Of Sophia, Bona, Gaza, And Kaloleni/Majengo(Kaloleni Ward)-Wdf",Complete,2014-2015,n/a,1000000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1000000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/451/14-15,Solar Lighting At Railways Lower Part(Kaloleni Ward)-Wdf,Complete,2014-2015,M/s Mngiwa General Contractors,1000000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1000000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/452/14-15,Solar Lighting At Lower Market(Kaloleni Wrad)-Wdf,Complete,2014-2015,n/a,3000000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,3000000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/453/14-15,Construction Of 2 Box Culverts At Mazeraskaloleni Ward)-Wdf,Complete,2014-2015,n/a,2000000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,2000000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/454/14-15,Construction Of 20 (2Mx2M) Stalls At Voi Bus Park(Kaloleni Ward)-Wdf,Complete,2014-2015,n/a,700000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,700000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/455/14-15,4 Interlocking Blocks Machines (Kaloleni Ward)-Wdf,Complete,2014-2015,n/a,1000000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1000000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/456/14-15,Street Lighting( Caltex Junction-Kaloleni  Crossing ) (Rebudgeted),Complete,2014-2015,n/a,1600000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1600000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/457/14-15,Latta Dam Tree Fruit Nursery,Complete,2014-2015,n/a,1800000,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,1800000,100,Fruit Tree Nursery Establishment And Operation,Admin 3,,Sagala,-3.5013,38.5734,County Government,100,,,Admin 3,Sagala
006/130/458/14-15,George Sowa Ecde,Complete,2014-2015,n/a,1500000,"Education, Libraries and VTCs",County Government,,,,,0,,0,1500000,100,Construction Of George Sowa Ecde,Admin 3,,Sagala,-3.5133,38.5612,County Government,100,,,Admin 3,Sagala
006/130/459/14-15,Kajire Social Hall,Complete,2014-2015,M/s Mngiwa General Contractors," 3,000,000 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 3,000,000 ",100,Construction Of Kajire Social Hall,Admin 3,,Sagala,-3.5226,38.6124,County Government,100,,,Admin 3,Sagala
006/130/46/23-24,Receptacles  Birikani,Complete,2023-2024,Elsunt Investments Limited,722146.4,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,722146.4,100,Construction Of Birikani Receptacle,Admin 3,,Kaloleni,-3.3962,38.5949,County Government,100,,,Admin 3,Kaloleni
006/130/460/14-15,Kizumanzi Stadium,Complete,2014-2015,GIMAMI INVESTMENT LTD," 2,868,227.00 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 2,868,227.00 ",100,Construction Of Kizumanzi Stadium,Admin 3,,Sagala,-3.473,38.5849,County Government,100,,,Admin 3,Sagala
006/130/461/14-15,Ngambenyi Bore Hole,Complete,2014-2015,n/a,1500000,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,1500000,100,Drilling Of Borehole,Admin 3,,Kasigau,-3.8396,38.6215,County Government,100,,,Admin 3,Kasigau
006/130/462/14-15,Bungule Vtc Hostel,Complete,2014-2015,TEMELE K LTD," 400,000.00 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 400,000.00 ",100,Constructuction And Equipping,Admin 3,,Kasigau,-3.8477,38.6682,County Government,100,,,Admin 3,Kasigau
006/130/463/14-15,Bungule Youth Polytechnic,Complete,2014-2015,TEMELE K LTD," 400,000.00 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 400,000.00 ",100,Constructuction And Equipping,Admin 3,,Kasigau,-3.8477,38.6682,County Government,100,,,Admin 3,Kasigau
006/130/464/14-15, Kikongorinyi Ecde,Complete,2014-2015,n/a,900000,"Education, Libraries and VTCs",County Government,,,,,0,,0,900000,100,Construction Of Class,Admin 3,,Kasigau,-3.6814,38.6575,County Government,100,,,Admin 3,Kasigau
006/130/465/14-15,Mikamengi Ecde,Complete,2014-2015,n/a,960000,"Education, Libraries and VTCs",County Government,,,,,0,,0,960000,100,Construction Of Class,Admin 3,,Kasigau,-3.6511,38.6877,County Government,100,,,Admin 3,Kasigau
006/130/466/14-15,Fencing Of Makwasingyi Dispensary,Complete,2014-2015,n/a,300000,Health Services,County Government,,,,,0,,0,300000,100,Planting Of Chain Ling And Construction Of Gate,Admin 3,,Kasigau,-3.833,38.6815,County Government,100,,,Admin 3,Kasigau
006/130/467/14-15,Electrification Of Makwasinyi Dispensary,Complete,2014-2015,n/a,200000,Health Services,County Government,,,,,0,,0,200000,100,Electrification Of The Dispensary,Admin 3,,Kasigau,-3.8133,38.6815,County Government,100,,,Admin 3,Kasigau
006/130/468/14-15,Slaughter House Rukanga,Complete,2014-2015,CORGYN LTD," 1,800,000.00 ","Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",County Government,,,,,0,,0," 1,800,000.00 ",100,Construction Of The Slaughter House,Admin 3,,Kasigau,-3.7971,38.6312,County Government,100,,,Admin 3,Kasigau
006/130/469/14-15,Buguta Ecde,Complete,2014-2015,M/S GAJESHI GEN STORES," 1,063,476.00 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 1,063,476.00 ",100,Construction Of 1 Class,Admin 3,,Kasigau,-3.6895,38.6685,County Government,100,,,Admin 3,Kasigau
006/130/47/23-24, Receptacles  Kasarani,Complete,2023-2024,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",County Government,,,,,0,,0,0,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/470/14-15,Rukanga Open Air Market,Complete,2014-2015,M/s Alkama Company Limited," 1,369,263.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0," 1,369,263.00 ",100,Construction Modern Stalls&Cabro Works,Admin 3,,Kasigau,-3.8133,38.6377,County Government,100,,,Admin 3,Kasigau
006/130/471/14-15,Boniface Maghanga Borehole,Complete,2014-2015,PEPTEC ENTERPRISES LTD," 1,800,000.00 ","Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,,100,Drilling And Solarization Of The Borehole,Admin 3,,Mbololo,-3.359,38.4946,County Government,100,,,Admin 3,Mbololo
006/130/472/14-15,Tausa Vtc,Complete,2014-2015,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of The Vtc,Admin 3,,Mbololo,-3.3381,38.4778,County Government,100,,,Admin 3,Mbololo
006/130/473/14-15,Ikanga Ecde,Complete,2014-2015,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of One Classroom,Admin 3,,Mbololo,-3.3837,38.5388,County Government,100,,,Admin 3,Mbololo
006/130/474/14-15,Ndile Ecde,Complete,2014-2015,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Two Classrooms,Admin 3,,Mbololo,-3.3528,38.4751,County Government,100,,,Admin 3,Mbololo
006/130/475/14-15,Kayanda Dispensary Lab Refurbishment,Complete,2014-2015,n/a,0,Health Services,County Government,,,,,0,,0,0,100,Rehabilitation Of Laboratory,Admin 3,,Mbololo,-3.3639,38.4908,County Government,100,,,Admin 3,Mbololo
006/130/476/14-15,Tausa-Mwangele Road,Complete,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,987,0,,0,0,100,Rehabilitation Of The Road,Admin 3,,Mbololo,-3.3386,38.4771,County Government,100,,,Admin 3,Mbololo
006/130/477/14-15,Tausa Primary Ecde,Complete,2014-2015,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of One Classroom,Admin 3,,Mbololo,-3.3379,38.4711,County Government,100,,,Admin 3,Mbololo
006/130/478/14-15,Tausa Ecde Toilet,Complete,2014-2015,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Three Door Toilet,Admin 3,,Mbololo,-3.3379,38.4711,County Government,100,,,Admin 3,Mbololo
006/130/48/23-24, Receptacles  Mwingoni,Complete,2023-2024,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,0,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/49/23-24,Cabro Mazeras-Ferry Birikani Junction Phase 1,Complete,2023-2024,n/a,10000000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,10000000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/50/23-24,Routine Maintenance,Complete,2023-2024,Tsavo Autopoint,1500000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1500000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/51/23-24,Grants To Group Women Empowerment,Complete,2023-2024,n/a,1900000,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,1900000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/52/23-24,Youths And Sports Equipments ,Complete,2023-2024,n/a,1900000,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,1900000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/53/23-24,Voi Town Bus Stage Repair Works,Complete,2023-2024,Bushuti General Contractor,1799488.08,,County Government,,,,,0,,0,1799488.08,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/54/23-24,Marapu Kwa Shingira Bamako Road,Complete,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Marapu Kwa Shingira Bamako Road,Admin 3,,Sagala,-3.5001,38.5514,County Government,100,,,Admin 3,Sagala
006/130/55/23-24,Marapu Kwa Levi  Bamako Road,Complete,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Marapu Kwa Levi Bamako Road,Admin 3,,Sagala,-3.5168,38.5593,County Government,100,,,Admin 3,Sagala
006/130/56/23-24,Bamako-Zongowani Road,Complete,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Bamako-Zongowani Road,Admin 3,,Sagala,-3.5332,38.5525,County Government,100,,,Admin 3,Sagala
006/130/57/23-24,Talio Nyika Vtc,Complete,2023-2024,Greenlance Ltd,1000000,"Education, Libraries and VTCs",County Government,,,,317,0,,0,1000000,100,Construction Of Talio Nyika Vtc,Admin 3,,Sagala,-3.5586,38.5734,County Government,100,,,Admin 3,Sagala
006/130/58/23-24,Kajire Women Empowerment Center,Complete,2023-2024,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,Construction Of Kajire Women Empowerment Center,Admin 3,,Sagala,-3.5182,38.6103,County Government,100,,,Admin 3,Sagala
006/130/59/23-24,Wray Bore Hole,Complete,2023-2024,Gynett Company Limited,1484133,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,388,0,,0,1484133,100,Construction Of Wray Bore Hole,Admin 3,,Sagala,-3.5107,38.5765,County Government,100,,,Admin 3,Sagala
006/130/60/23-24,Construction Of Ndii Bodaboda Shed,Complete,2023-2024,MEHER ENGINEERING LTD," 734,706.00 ","Trade, Tourism, Culture and Industrialization",County Government,,,,,0,,0," 734,706.00 ",100,Completion Of Bodaboda Shed,Admin 3,,Ngolia,-3.241733,38.496363,County Government,100,,,Admin 3,Ngolia
006/130/61/23-24,Maintenance Of Dip - Mrangi - Macha Road,Complete,2023-2024,TECH AND BIZ VENTURES,600000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,600000,100,Maintenance Of Feeder Road,Admin 3,,Ngolia,-3.325893,38.435881,County Government,100,,,Admin 3,Ngolia
006/130/62/23-24,Maintenance  Of Malatenyi - Kwa Ngenge Road Ndome,Ongoing,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Maintenance Of Feeder Road,Admin 3,,Ngolia,-330202,38.480773,County Government,100,,,Admin 3,Ngolia
006/130/63/23-24,Distribution Of Plastic Chairs For Ndome Social Hall,Complete,2023-2024,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,Supply Of Furniture For Social Hall,Admin 3,,Ngolia,0,0,County Government,100,,,Admin 3,Ngolia
006/130/64/23-24,Manga Ecde 1 Classroom And 2 Door Toilet ,Complete,2023-2024,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Completion Of Classroom & 2 Door Toilet,Admin 3,,Ngolia,-3.187555,38.490574,County Government,100,,,Admin 3,Ngolia
006/130/65/23-24,Fencing Of Manga Ecd And Other Necessities ,Complete,2023-2024,Jopek Ventures Limited,939900,"Education, Libraries and VTCs",County Government,,,,,0,,0,939900,100,Fencing Of Manga Ecd And Other Necessities ,Admin 3,,Ngolia,-3.187555,38.490574,County Government,100,,,Admin 3,Ngolia
006/130/66/23-24, Fencing Of Mamdagha Ecd (Completion) ,Complete,2023-2024,Venleistar Limited,999572,"Education, Libraries and VTCs",County Government,,,,,0,,0,999572,100, Fencing Of Mamdagha Ecd (Completion) ,Admin 3,,Ngolia,-3.288735,38.442434,County Government,100,,,Admin 3,Ngolia
006/130/67/23-24," Construction Of Ghazi Ecd Modern Kitchen, Toilet And Fence ",Stalled,2023-2024,Bregza Enterprised ,999985,"Education, Libraries and VTCs",County Government,,,,,0,,0,999985,100," Construction Of Ghazi Ecd Modern Kitchen, Toilet And Fence ",Admin 3,,Ngolia,-3.287299,38.446379,County Government,100,,,Admin 3,Ngolia
006/130/68/23-24,"Supply Of Printers, Photocopiers For Ndome, Ghazi And Wongonyi Ecds",Complete,2023-2024,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,"Supply Of Printers, Photocopiers For Ndome Ghazi And Wongonyi Ecds",Admin 3,,Ngolia,0,0,County Government,100,,,Admin 3,Ngolia
006/130/69/23-24,"Ghazi, Ndome And Wongonyi Used Motor Vehicles For Practicals For Polytechnics Students",Stalled,2023-2024,Swaham Investment Limited,1500000,"Education, Libraries and VTCs",County Government,,,,,0,,0,1500000,100,"Ghazi, Ndome And Wongonyi Used Motor Vehicles For Practicals For Polytechnics Students",Admin 3,,Ngolia,0,0,County Government,100,,,Admin 3,Ngolia
006/130/70/23-24,Grading Of Ghazi -Mwakuni Road,Stalled,2023-2024,Motham Investments Limited,996496,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,996496,100,Grading Of Ghazi -Mwakuni Road,Admin 3,,Ngolia,-3.290156,38.442696,County Government,100,,,Admin 3,Ngolia
006/130/71/23-24,Grading Of Mbembe-Wongonyi Road,Ongoing,2023-2024,TATAWE INVESTMENT CO LIMITED," 2,780,000.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0," 2,780,000.00 ",100,Maintenance Of Mwamranga - Mbembe - Wongonyi Road,Admin 3,,Ngolia,-3.312286,38.433111,County Government,100,,,Admin 3,Ngolia
006/130/72/23-24,Grading Of Ngolia Ward Feeder Road,Complete,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading Of Ngolia Ward Feeder Road,Admin 3,,Ngolia,0,0,County Government,100,,,Admin 3,Ngolia
006/130/73/23-24,Supply Of Transformer(For Power) In Manga Village Near Ndii,Complete,2023-2024,KENYA POWER AND LIGHTING COMPANY LTD (KPLC)," 772,330.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0," 772,330.00 ",100,Supply Of Transformer(For Power) In Manga Village Near Ndii,Admin 3,,Ngolia,-3.20206,38.499933,County Government,100,,,Admin 3,Ngolia
006/130/74/23-24,Construction Of Bodaboda Shed-Manga ,Complete,2023-2024,Arsenal Springs Enterpises,992612,"Trade, Tourism, Culture and Industrialization",County Government,,,,,0,,0,992612,100, Construction Of Bodaboda Shed-Manga ,Admin 3,,Ngolia,-3.200521,38.499581,County Government,100,,,Admin 3,Ngolia
006/130/75/23-24,Construction Of Bodaboda Shed Wongonyi,Stalled,2023-2024,n/a,0,"Trade, Tourism, Culture and Industrialization",County Government,,,,,0,,0,0,100,Construction Of Bodaboda Shed Wongonyi,Admin 3,,Ngolia,0,0,County Government,100,,,Admin 3,Ngolia
006/130/76/23-24,Youth Empowerment Program,Complete,2023-2024,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,Youth Empowerment Program,Admin 3,,Ngolia,0,0,County Government,100,,,Admin 3,Ngolia
006/130/77/23-24,"Supply Of Footballs, Nets, Boots And Uniforms",Complete,2023-2024,Jibat Kenya P.O Box 41749-80100 Mombasa,495000,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,495000,100,"Supply Of Footballs, Nets, Boots And Uniforms",Admin 3,,Ngolia,0,0,County Government,100,,,Admin 3,Ngolia
006/130/78/23-24,Food Program,Complete,2023-2024,Hamissi And Brothers Enterprise,999850,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,999850,100,Food Program,Admin 3,,Ngolia,0,0,County Government,100,,,Admin 3,Ngolia
006/130/79/23-24,Rehabilitation Of Tombolo -Makwasinyi Road,Complete,2023-2024,"Ansel Rald Agency
 Limited",950305,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,950305,100,Rehabilitation Of The Road,Admin 3,,Kasigau,-3.8188,38.6904,County Government,100,,,Admin 3,Kasigau
006/130/80/23-24,Rehabilitation Of Ngambeni -Bungule Road,Complete,2023-2024,Sentroy Ventures Limited,1988878,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1988878,100,Rehabilitation Of The Road,Admin 3,,Kasigau,-3.8479,38.6674,County Government,100,,,Admin 3,Kasigau
006/130/82/23-24,Shamba La Bibi Ecde,Complete,2023-2024,RONRICE SERVICES LTD," 1,079,730.00 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 1,079,730.00 ",100,Construction Of One Classroom,Admin 3,,Mbololo,-3.3763,38.5588,County Government,100,,,Admin 3,Mbololo
006/130/83/23-24,Kamito Water Pan,Complete,2023-2024,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,0,100,Drilling Of The Water Pan,Admin 3,,Mbololo,-3.3434,38.5197,County Government,100,,,Admin 3,Mbololo
006/130/84/22-23,Kaloleni Feeder Road/Shauri Moyo,Complete,2022-2023,Venleistar Limited," 1,977,800.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,   ,100,Light Grading Of The Feeder Road,Admin 3,,Kaloleni,-3.3981,38.5616,County Government,100,,,Admin 3,Kaloleni
006/130/85/22-23,Tanzania Dispensary,Stalled,2022-2023,Saben Holdings Limited,5551267,Health Services,County Government,,,,,0,,0,5551267,100,Construction Of A Model Dispensary,Admin 3,,Kaloleni,-3.3991,38.5606,County Government,100,,,Admin 3,Kaloleni
006/130/86/22-23,Voi Cbd Cabro Work,Complete,2022-2023,Seyhar Investments Limited,3801225,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,3801225,100,Repair Of Damage Cabro Road,Admin 3,,Kaloleni,-3.3944,38.5638,County Government,100,,,Admin 3,Kaloleni
006/130/87/22-23,Mwanyambo Ecde,Complete,2022-2023,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Modern Classes,Admin 3,,Kaloleni,-3.3931,38.5886,County Government,100,,,Admin 3,Kaloleni
006/130/88/22-23,Triangle Box Culvert,Complete,2022-2023,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Triangle Box Culvert,Admin 3,,Kaloleni,-3.4053,38.5893,County Government,100,,,Admin 3,Kaloleni
006/130/90/22-23,Installation Of Box Culvert Triangle,Stalled,2022-2023,Hogla Construction Company Limited,2962524,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,2962524,100,,Admin 3,,Kaloleni,-3.4053,38.5893,County Government,100,,,Admin 3,Kaloleni
006/130/91/22-23,Routine Maintenance  Of Roads,Complete,2022-2023,n/a,1500000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1500000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/92/22-23,Installation  Of Box Culvert In Lower Sofia,Ongoing,2022-2023,Satique Construction Limited,3496982.4,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,3496982.4,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/93/22-23,Construction Of Lower Railway 2Door Latrine,Complete,2022-2023,Hashanox Construction And General Supplies Ltd P.O Box 1-70101 Hola,1499999,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,1499999,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/94/22-23,Purchase Of Plastic Chairs For Mbulia Social Hall,Complete,2022-2023,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,Supply Of Furniture For Social Hall,Admin 3,,Ngolia,-3.254199,38.440119,County Government,100,,,Admin 3,Ngolia
006/130/95/22-23,Maintenance Of Mwambingu Road - Ndome,Complete,2022-2023,SHANTE ENTERPRISES LTD," 1,961,705.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0," 1,961,705.00 ",100,Maintenance Of Feeder Road,Admin 3,,Ngolia,-3.300403,38.517208,County Government,100,,,Admin 3,Ngolia
006/130/96/22-23,Completion Of Mole Ecde With A Toilet,Complete,2022-2023,HAILOK LIMITED," 750,000.00 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 750,000.00 ",100,Completion Of Mole Ecde With A Toilet,Admin 3,,Ngolia,-3.35152,38.449518,County Government,100,,,Admin 3,Ngolia
006/130/97/22-23,Manyani Ecde ,Stalled,2022-2023,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Manyani Ecde ,Admin 3,,Ngolia,-3.09351,38.486366,County Government,100,,,Admin 3,Ngolia
006/130/98/22-23,Completion Of Mwakajo Ecde With A Two Door Toilet,Complete,2022-2023,Guba Investments Limited,2666985,"Education, Libraries and VTCs",County Government,,,,,0,,0,2666985,100,Completion Of Mwakajo Ecde With A Two Door Toilet,Admin 3,,Ngolia,-3.288735,38.442434,County Government,100,,,Admin 3,Ngolia
006/130/99/22-23,Fencing Of Mwakajo Ecde Plus A Gate,Complete,2022-2023,Guba Investments Limited,1480229,"Education, Libraries and VTCs",County Government,,,,,0,,0,1480229,100,Fencing Of Mwakajo Ecde Plus A Gate,Admin 3,,Ngolia,-3.288735,38.442434,County Government,100,,,Admin 3,Ngolia
006/131/01/24-25,Macadamia And Milk Plants Operationalisation ,Complete,2024-2025,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,,,,,0,,0,0,0,Macadamia And Milk Plants Operationalisation ,Admin 3,,Mwanda/Mgange,0,0,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/02/24-25,Construction Of Mgange-Mwabatu-Ngoloki Road,Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,0,0,Construction Of Mgange-Mwabatu-Ngoloki Road,Admin 3,,Mwanda/Mgange,0,0,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/03/24-25,Construction Of Lushangonyi Choke Wesu Road ,Complete,2024-2025,DINARI YETU LIMITED,DINARI YETU LIMITED,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,DINARI YETU LIMITED,0,"Mechanical excavation, grading, shaping, slabbing, culverts installation, cross cutting issues, environment mitigation",Admin 3,,Mwanda/Mgange,-3.405291,30.324711,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/04/24-25,Construction Of Kisangarinyi-Mwalashi-Mghwala Road,Complete,2024-2025,BETTODS INVESTMENTS LTD," 1,354,871.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 1,354,871.00 ",0,"Slabbing, grading, bush clearing, installation of culverts, cross ",Admin 3,,Mwanda/Mgange,-3.40859200,38.2846670,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/05/24-25,Construction Of Mgange Nyika 4 Door Toilet ,Complete,2024-2025,IKUMINYI GENERAL LTD," 1,991,766.40 ",,,,,,,0,,0," 1,991,766.40 ",0,"Digging of  pit latrine, walling, roofing, floor, finishes and painting works",Admin 3,,Mwanda/Mgange,-3.40057500,38.31277000,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/07/24-25,Grading Of Mghambonyi-Kitumbi-Kishenyi Road,Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,6622370,0,Grading and bush clearing,Admin 3,,Wumingu/Kishushe,-3.35795,38.359869,County Government,100,,,Admin 3,Wumingu/Kishushe
